row_index,customerID,churn,split
0,7590-VHVEG,0,development
1,5575-GNVDE,0,development
2,3668-QPYBK,1,development
3,7795-CFOCW,0,development
4,9237-HQITU,1,development
5,9305-CDSKC,1,development
6,1452-KIOVK,0,development
7,6713-OKOMC,0,development
8,7892-POOKP,1,development
9,6388-TABGU,0,development
10,9763-GRSKD,0,development
11,7469-LKBCI,0,development
12,8091-TTVAX,0,development
13,0280-XJGEX,1,development
14,5129-JLPIS,0,development
15,3655-SNQYZ,0,development
16,8191-XWSZG,0,development
17,9959-WOFKT,0,development
18,4190-MFLUW,1,development
19,4183-MYFRB,0,development
20,8779-QRDMV,1,development
21,1680-VDCWW,0,development
22,1066-JKSGK,1,development
23,3638-WEABW,0,holdout
24,6322-HRPFA,0,development
25,6865-JZNKO,0,holdout
26,6467-CHFZW,1,development
27,8665-UTDHZ,1,development
28,5248-YGIJN,0,development
29,8773-HHUOZ,1,development
30,3841-NFECX,0,holdout
31,4929-XIHVW,0,development
32,6827-IEAUQ,0,development
33,7310-EGVHZ,0,holdout
34,3413-BMNZE,0,development
35,6234-RAAPL,0,holdout
36,6047-YHPVI,1,development
37,6572-ADKRS,0,development
38,5380-WJKOV,1,development
39,8168-UQWWF,1,development
40,8865-TNMNX,0,development
41,9489-DEDVP,0,development
42,9867-JCZSP,0,holdout
43,4671-VJLCL,0,holdout
44,4080-IIARD,0,development
45,3714-NTNFO,0,development
46,5948-UJZLF,0,development
47,7760-OYPDY,1,development
48,7639-LIAYI,0,development
49,2954-PIBKO,0,development
50,8012-SOUDQ,0,development
51,9420-LOJKX,1,holdout
52,6575-SUVOI,0,holdout
53,7495-OOKFY,1,development
54,4667-QONEA,0,holdout
55,1658-BYGOY,1,development
56,8769-KKTPH,0,development
57,5067-XJQFU,0,development
58,3957-SQXML,0,development
59,5954-BDFSG,0,development
60,0434-CSFON,0,development
61,1215-FIGMP,0,holdout
62,0526-SXDJP,0,development
63,0557-ASKVU,0,development
64,5698-BQJOH,1,development
65,5122-CYFXA,0,development
66,8627-ZYGSZ,0,development
67,3410-YOQBQ,0,development
68,3170-NMYVV,0,development
69,7410-OIEDU,0,development
70,2273-QCKXA,0,development
71,0731-EBJQB,0,development
72,1891-QRQSA,0,development
73,8028-PNXHQ,0,holdout
74,5630-AHZIL,0,holdout
75,2673-CXQEU,0,development
76,6416-JNVRK,0,development
77,5590-ZSKRV,0,holdout
78,0191-ZHSKZ,0,development
79,3887-PBQAO,0,development
80,5919-TMRGD,1,development
81,8108-UXRQN,0,development
82,9191-MYQKX,1,development
83,9919-YLNNG,0,development
84,0318-ZOPWS,0,development
85,4445-ZJNMU,0,development
86,4808-YNLEU,0,development
87,1862-QRWPE,0,development
88,2796-NNUFI,0,development
89,3016-KSVCP,0,development
90,4767-HZZHQ,0,development
91,2424-WVHPL,0,holdout
92,7233-PAHHL,0,holdout
93,6067-NGCEU,0,development
94,9848-JQJTX,0,development
95,8637-XJIVR,1,development
96,9803-FTJCG,0,development
97,0278-YXOOG,1,development
98,3212-KXOCR,0,development
99,4598-XLKNJ,1,development
100,6380-ARCEH,0,development
101,3679-XASPY,0,development
102,7123-WQUHX,0,development
103,5386-THSLQ,0,holdout
104,3192-NQECA,1,development
105,6180-YBIQI,0,development
106,6728-DKUCO,0,development
107,9750-BOOHV,0,development
108,8597-CWYHH,0,development
109,2848-YXSMW,0,development
110,0486-HECZI,1,development
111,4549-ZDQYY,0,development
112,5712-AHQNN,0,holdout
113,4846-WHAFZ,1,development
114,5256-SKJGO,0,development
115,3071-VBYPO,0,development
116,9560-BBZXK,0,development
117,5299-RULOA,1,development
118,8402-OOOHJ,0,development
119,9445-ZUEQE,0,development
120,1091-SOZGA,0,holdout
121,2928-HLDBA,0,holdout
122,0404-SWRVG,1,development
123,6497-TILVL,0,development
124,7219-TLZHO,0,holdout
125,4622-YNKIJ,0,development
126,4412-YLTKF,1,holdout
127,6734-PSBAW,0,development
128,3930-ZGWVE,0,development
129,2639-UGMAZ,0,development
130,2876-GZYZC,0,holdout
131,6207-WIOLX,1,development
132,8587-XYZSF,0,development
133,3091-FYHKI,1,development
134,2372-HWUHI,1,development
135,7799-LGRDP,0,holdout
136,7850-VWJUU,0,holdout
137,3774-VBNXY,0,development
138,6217-KDYWC,0,development
139,0390-DCFDQ,1,development
140,3146-MSEGF,0,development
141,4080-OGPJL,1,development
142,1095-WGNGG,0,development
143,2636-SJDOU,0,development
144,1131-QQZEB,0,development
145,5716-EZXZN,0,holdout
146,6837-BJYDQ,0,development
147,2135-RXIHG,1,development
148,6440-DKQGE,0,development
149,3466-BYAVD,0,development
150,3780-YVMFA,0,development
151,3874-EQOEP,1,holdout
152,1679-JRFBR,0,holdout
153,9073-ZZIAY,0,development
154,3077-RSNTJ,0,development
155,6551-GNYDG,0,development
156,9167-APMXZ,0,development
157,2749-CTKAJ,0,holdout
158,6371-NZYEG,0,development
159,7554-NEWDD,0,development
160,8992-VONJD,0,holdout
161,0867-MKZVY,1,development
162,4482-EWFMI,0,development
163,4648-YPBTM,0,development
164,2907-ILJBN,0,development
165,6345-FZOQH,0,development
166,3376-BMGFE,1,development
167,5997-OPVFA,0,development
168,3445-HXXGF,1,development
169,1159-WFSGR,0,holdout
170,7654-YWJUF,0,development
171,1875-QIVME,1,holdout
172,6727-IOTLZ,0,development
173,0691-JVSYA,1,development
174,5918-VUKWP,0,development
175,1744-JHKYS,0,development
176,2656-FMOKZ,1,development
177,2070-FNEXE,1,development
178,5947-SGKCL,0,holdout
179,3712-PKXZA,0,development
180,6317-YPKDH,1,holdout
181,6582-OIVSP,0,development
182,9367-WXLCH,1,development
183,5524-KHNJP,0,development
184,1918-ZBFQJ,1,development
185,1024-GUALD,1,development
186,4827-USJHP,0,development
187,8167-GJLRN,0,development
188,0956-SYCWG,0,development
189,8017-UVSZU,0,holdout
190,7100-FQPRV,0,development
191,2472-OVKUP,1,development
192,2984-RGEYA,0,development
193,9680-NIAUV,0,holdout
194,2146-EGVDT,0,development
195,2604-IJPDU,0,holdout
196,9178-JHUVJ,0,development
197,6168-YBYNP,0,development
198,7255-SSFBC,0,development
199,3645-DEYGF,0,development
200,9323-HGFWY,0,development
201,8544-GOQSH,0,development
202,3363-DTIVD,0,development
203,7018-WBJNK,0,holdout
204,9142-KZXOP,0,development
205,7674-YTAFD,0,holdout
206,6348-SNFUS,0,development
207,1285-OKIPP,1,development
208,7825-ECJRF,1,development
209,1347-KTTTA,0,development
210,7841-TZDMQ,1,development
211,4195-NZGTA,0,holdout
212,7157-SMCFK,0,holdout
213,4709-LKHYG,0,development
214,2504-DSHIH,0,development
215,0699-NDKJM,0,development
216,9286-BHDQG,0,development
217,0230-WEQUW,0,development
218,2040-LDIWQ,0,development
219,6496-JDSSB,0,development
220,9408-SSNVZ,1,development
221,4443-EMBNA,0,development
222,6469-MRVET,0,holdout
223,0742-MOABM,1,development
224,5961-VUSRV,0,development
225,6778-JFCMK,0,development
226,6341-JVQGF,0,development
227,2232-DMLXU,1,development
228,4811-JBUVU,0,development
229,0945-TSONX,0,development
230,2651-ZCBXV,0,development
231,3316-UWXUY,0,development
232,8937-RDTHP,1,development
233,7083-MIOPC,0,development
234,1984-GPTEH,0,development
235,1251-KRREG,1,development
236,0621-JFHOL,0,development
237,9903-LYSAB,0,development
238,0094-OIFMO,1,development
239,9227-UAQFT,0,holdout
240,7301-ABVAD,0,development
241,6614-FHDBO,0,development
242,7576-ASEJU,0,development
243,9058-HRZSV,0,development
244,4522-AKYLR,0,development
245,0221-WMXNQ,0,holdout
246,0303-UNCIP,0,holdout
247,9947-OTFQU,1,holdout
248,0322-YINQP,1,development
249,0959-WHOKV,0,holdout
250,4075-JFPGR,0,development
251,4629-NRXKX,1,development
252,9514-JDSKI,1,development
253,3282-ZISZV,0,development
254,3675-YDUPJ,0,holdout
255,4111-BNXIF,0,development
256,7017-VFHAY,0,development
257,6655-LHBYW,0,development
258,4959-JOSRX,1,development
259,5046-NUHWD,0,development
260,7273-TEFQD,1,development
261,3606-TWKGI,1,holdout
262,7529-ZDFXI,0,development
263,7605-BDWDC,0,development
264,1950-KSVVJ,0,development
265,0123-CRBRT,0,development
266,6292-TOSSS,0,holdout
267,3197-ARFOY,0,development
268,6323-AYBRX,1,development
269,7014-ZZXAW,0,development
270,4385-GZQXV,1,holdout
271,7633-MVPUY,0,development
272,6366-ZGQGL,1,holdout
273,4716-HHKQH,0,development
274,5940-AHUHD,1,development
275,6432-TWQLB,1,development
276,4484-GLZOU,1,development
277,3179-GBRWV,0,development
278,8645-KWHJO,0,development
279,4130-MZLCC,0,development
280,0314-TKOSI,0,development
281,8229-MYEJZ,0,development
282,2080-SRCDE,0,development
283,9577-WJVCQ,0,development
284,9512-UIBFX,1,holdout
285,6202-DYYFX,0,development
286,3808-HFKDE,0,development
287,5583-SXDAG,1,development
288,3488-PGMQJ,1,holdout
289,3580-REOAC,1,development
290,7534-BFESC,1,development
291,3727-OWVYD,0,development
292,2294-SALNE,0,development
293,4847-TAJYI,0,development
294,1563-IWQEX,0,development
295,8203-XJZRC,0,development
296,6556-DBKZF,0,development
297,6851-WEFYX,0,development
298,2985-JUUBZ,0,development
299,6390-DSAZX,1,development
300,0895-LMRSF,0,development
301,8098-LLAZX,1,development
302,8266-VBFQL,0,development
303,8181-YHCMF,0,holdout
304,2240-HSJQD,0,development
305,1248-DYXUB,0,holdout
306,0265-EDXBD,1,development
307,4115-BNPJY,0,development
308,3167-SNQPL,0,development
309,4091-TVOCN,0,holdout
310,1098-TDVUQ,0,development
311,7277-OZCGZ,0,development
312,1557-EMYVT,0,development
313,2799-ARNLO,0,development
314,7563-BIUPC,1,development
315,5027-YOCXN,0,development
316,3973-SKMLN,0,development
317,2321-OMBXY,1,holdout
318,2840-XANRC,1,holdout
319,6745-JEFZB,0,development
320,5020-ZSTTY,1,development
321,9880-TDQAC,0,development
322,8705-WZCYL,0,development
323,7102-JJVTX,0,development
324,8626-PTQGE,0,development
325,4983-CLMLV,0,development
326,5701-YVSVF,0,development
327,5804-LEPIM,1,development
328,5697-GOMBF,0,development
329,2739-CACDQ,0,development
330,9385-EHGDO,0,development
331,9498-FIMXL,0,development
332,2379-GYFLQ,0,development
333,0122-OAHPZ,1,development
334,2868-SNELZ,1,development
335,4322-RCYMT,1,development
336,6680-NENYN,1,holdout
337,2088-IEBAU,0,development
338,7982-VCELR,0,development
339,1343-EHPYB,1,development
340,6035-BXTTY,0,holdout
341,6885-PKOAM,0,development
342,7520-HQWJU,0,development
343,9639-BUJXT,0,development
344,5924-SNGKP,0,holdout
345,0021-IKXGC,0,development
346,2034-GDRCN,1,development
347,8966-SNIZF,0,development
348,6243-OZGFH,0,development
349,4654-DLAMQ,0,development
350,0513-RBGPE,0,development
351,5160-UXJED,0,holdout
352,4115-NZRKS,0,development
353,0219-YTZUE,1,development
354,0623-IIHUG,1,development
355,4572-DVCGN,1,holdout
356,3351-NGXYI,0,development
357,8984-EYLLL,0,development
358,9057-MSWCO,1,development
359,9833-TGFHX,0,development
360,9294-TDIPC,0,development
361,5229-DTFYB,0,holdout
362,0104-PPXDV,0,development
363,5176-LMJXE,0,development
364,3583-KRKMD,0,development
365,1010-DIAUQ,1,development
366,9069-LGEUL,0,development
367,7302-ZHMHP,0,development
368,9571-EDEBV,0,development
369,3520-FJGCV,0,development
370,6563-VRERX,0,development
371,0259-GBZSH,1,development
372,6122-EFVKN,0,development
373,2805-EDJPQ,0,development
374,6862-CQUMB,0,development
375,7156-MXBJE,0,development
376,6158-HDPXZ,0,holdout
377,9601-BRXPO,1,development
378,2863-IMQDR,0,holdout
379,5686-CMAWK,0,holdout
380,5651-CRHKQ,0,development
381,6905-NIQIN,1,development
382,8204-YJCLA,0,development
383,5167-ZFFMM,1,development
384,6583-SZVGP,0,development
385,4895-TMWIR,1,holdout
386,0533-BNWKF,1,development
387,1708-PBBOA,0,holdout
388,8782-LKFPK,0,development
389,5522-JBWMO,0,development
390,3597-MVHJT,0,development
391,9774-NRNAU,0,holdout
392,0224-RLWWD,0,development
393,9967-ATRFS,0,development
394,3951-NJCVI,0,development
395,2977-CEBSX,0,development
396,0177-PXBAT,0,holdout
397,6599-CEBNN,1,development
398,2519-ERQOJ,0,development
399,5876-QMYLD,0,development
400,2277-AXSDC,0,development
401,9442-JTWDL,0,development
402,0979-PHULV,1,development
403,3067-SVMTC,0,development
404,5495-GPSRW,0,development
405,7606-BPHHN,0,development
406,4742-DRORA,0,development
407,0111-KLBQG,0,development
408,4800-VHZKI,1,holdout
409,7989-CHGTL,1,development
410,0334-GDDSO,1,development
411,4163-NCJAK,0,holdout
412,5233-AOZUF,0,holdout
413,5973-EJGDP,0,development
414,1996-DBMUS,0,development
415,7916-VCCPB,0,development
416,4686-GEFRM,0,development
417,5249-QYHEX,0,development
