fold_id,feature_set,average_precision,roc_auc,accuracy,precision,recall,f1,brier
1,full,0.6647009193209593,0.8517663548381886,0.8154392191659272,0.6812749003984063,0.5719063545150501,0.6218181818181818,0.13147852876619626
1,reduced,0.6663088780916866,0.8519117670818994,0.8207630878438332,0.691699604743083,0.5852842809364549,0.6340579710144928,0.13144193254979242
2,full,0.6752465117976265,0.848197696023783,0.8012422360248447,0.6582278481012658,0.5217391304347826,0.582089552238806,0.13455943230823883
2,reduced,0.6734319373564738,0.8477533808346663,0.7985803016858918,0.652542372881356,0.5150501672240803,0.5757009345794393,0.13471416932562236
3,full,0.635240032698421,0.8365283634659816,0.7870452528837621,0.6234309623430963,0.4983277591973244,0.5539033457249071,0.13911385355033484
3,reduced,0.6400076115919572,0.8373018758179439,0.7914818101153505,0.6333333333333333,0.5083612040133779,0.5640074211502782,0.1389866069296899
4,full,0.6784739398987537,0.8598185578336807,0.8163265306122449,0.6854838709677419,0.568561872909699,0.6215722120658135,0.13030129368719848
4,reduced,0.6832193455224018,0.8603860695070525,0.8118899733806566,0.6746987951807228,0.5618729096989966,0.6131386861313869,0.129990526281248
5,full,0.6219539229303906,0.8246957815855351,0.7992895204262878,0.640926640926641,0.5551839464882943,0.5949820788530465,0.14364113089579228
5,reduced,0.6252613764465084,0.8240729881547926,0.7948490230905861,0.6317829457364341,0.5451505016722408,0.585278276481149,0.1440115881161963
6,full,0.7005668565894078,0.8623430759536619,0.8251996450754214,0.7090163934426229,0.5785953177257525,0.6372007366482505,0.12773353684766692
6,reduced,0.7058787823591799,0.8631812159694957,0.8216503992901508,0.696,0.5819397993311036,0.6338797814207651,0.1274093769345997
7,full,0.6493080119249038,0.8490641106425605,0.8101153504880213,0.673469387755102,0.5518394648829431,0.6066176470588235,0.1351557086176002
7,reduced,0.6484263794831052,0.8483653240269496,0.805678793256433,0.6652892561983471,0.5384615384615384,0.5951940850277264,0.13545541790039847
8,full,0.7056070102431257,0.8590430258672225,0.8189884649511979,0.6954732510288066,0.5652173913043478,0.6236162361623616,0.12908152461612635
8,reduced,0.7066570976544844,0.8589279078409513,0.8216503992901508,0.6991869918699187,0.5752508361204013,0.6311926605504588,0.12901483017393856
9,full,0.6340763772217379,0.8333373725623253,0.7941437444543035,0.6401673640167364,0.5117056856187291,0.5687732342007435,0.1408618584003898
9,reduced,0.6288117209077733,0.8326870566946181,0.7941437444543035,0.6401673640167364,0.5117056856187291,0.5687732342007435,0.14125834145758348
10,full,0.5956277575091117,0.8172809000578308,0.7735346358792184,0.5814814814814815,0.5250836120401338,0.5518453427065027,0.14746967391636956
10,reduced,0.6032135672889243,0.8172546133221176,0.7761989342806395,0.5867158671586716,0.5317725752508361,0.5578947368421052,0.14729310941880597
11,full,0.6687613890642206,0.8449986266621428,0.8181011535048802,0.6942148760330579,0.5618729096989966,0.6210720887245841,0.13477964226984615
11,reduced,0.6695577502773855,0.844968332444703,0.8181011535048802,0.6910569105691057,0.568561872909699,0.6238532110091743,0.13474945628253931
12,full,0.6474661827191528,0.8428800510558543,0.7976929902395741,0.6414342629482072,0.5384615384615384,0.5854545454545454,0.13723084283979173
12,reduced,0.6582262269079838,0.843901975990823,0.8012422360248447,0.6506024096385542,0.5418060200668896,0.5912408759124088,0.13662087414294535
13,full,0.6517670916602698,0.8460528654290469,0.8047914818101154,0.6513409961685823,0.568561872909699,0.6071428571428571,0.13516303692014855
13,reduced,0.6577891062891325,0.8480704603105359,0.8012422360248447,0.6436781609195402,0.5618729096989966,0.6,0.1343682862522114
14,full,0.6333179050921589,0.8305018338099623,0.7959183673469388,0.6342412451361867,0.5451505016722408,0.5863309352517986,0.14066451555387627
14,reduced,0.634882976794023,0.8304412453750828,0.7994676131322094,0.642023346303502,0.5518394648829431,0.5935251798561151,0.140738151595624
15,full,0.6607306961142032,0.8489564165921876,0.8037300177619894,0.6638655462184874,0.5284280936454849,0.5884543761638734,0.13488241546017973
15,reduced,0.662092784808967,0.8489725930449341,0.8010657193605684,0.6518218623481782,0.5384615384615384,0.5897435897435898,0.1350320227365901
